ALAND,AWATER,COUNTYFP,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,MTFCC,NAME,NAMELSAD,STATEFP,TRACTCE
293931.0,0.0,031,S,17031241600,+41.9067097,-087.6653277,G5020,2416,Census Tract 2416,17,241600
655584.0,0.0,031,S,17031151200,+41.9421690,-087.7714953,G5020,1512,Census Tract 1512,17,151200
518265.0,0.0,031,S,17031241400,+41.9060284,-087.6753125,G5020,2414,Census Tract 2414,17,241400
660846.0,0.0,031,S,17031151100,+41.9422903,-087.7617175,G5020,1511,Census Tract 1511,17,151100
499204.0,0.0,031,S,17031250200,+41.9123508,-087.7510730,G5020,2502,Census Tract 2502,17,250200
617326.0,0.0,031,S,17031250300,+41.9128419,-087.7608408,G5020,2503,Census Tract 2503,17,250300
1309879.0,0.0,031,S,17031250400,+41.9129080,-087.7753942,G5020,2504,Census Tract 2504,17,250400
657218.0,0.0,031,S,17031243500,+41.8926536,-087.6525172,G5020,2435,Census Tract 2435,17,243500
2061581.0,0.0,031,S,17031250500,+41.9146180,-087.7967960,G5020,2505,Census Tract 2505,17,250500
323370.0,0.0,031,S,17031071800,+41.9145855,-087.6459660,G5020,718,Census Tract 718,17,071800
895553.0,723071.0,031,S,17031071500,+41.9142425,-087.6250924,G5020,715,Census Tract 715,17,071500
327251.0,0.0,031,S,17031080400,+41.9074122,-087.6409015,G5020,804,Census Tract 804,17,080400
265784.0,0.0,031,S,17031080100,+41.9075537,-087.6267897,G5020,801,Census Tract 801,17,080100
361488.0,0.0,031,S,17031080300,+41.9074900,-087.6357986,G5020,803,Census Tract 803,17,080300
657337.0,0.0,031,S,17031160400,+41.9573657,-087.7228239,G5020,1604,Census Tract 1604,17,160400
426175.0,0.0,031,S,17031160300,+41.9572682,-087.7308958,G5020,1603,Census Tract 1603,17,160300
593564.0,0.0,031,S,17031160100,+41.9646284,-087.7427951,G5020,1601,Census Tract 1601,17,160100
957173.0,0.0,031,S,17031160200,+41.9587937,-087.7384000,G5020,1602,Census Tract 1602,17,160200
304903.0,0.0,031,S,17031221500,+41.9216468,-087.6899513,G5020,2215,Census Tract 2215,17,221500
355032.0,0.0,031,S,17031221400,+41.9208013,-087.6945320,G5020,2214,Census Tract 2214,17,221400
330103.0,0.0,031,S,17031221300,+41.9211256,-087.6997541,G5020,2213,Census Tract 2213,17,221300
794348.0,0.0,031,S,17031160700,+41.9504190,-087.7019833,G5020,1607,Census Tract 1607,17,160700
574711.0,0.0,031,S,17031250800,+41.9061855,-087.7514741,G5020,2508,Census Tract 2508,17,250800
662320.0,0.0,031,S,17031250700,+41.9058206,-087.7608128,G5020,2507,Census Tract 2507,17,250700
647765.0,0.0,031,S,17031250600,+41.9056935,-087.7706303,G5020,2506,Census Tract 2506,17,250600
496455.0,0.0,031,S,17031251100,+41.8986248,-087.7520112,G5020,2511,Census Tract 2511,17,251100
466955.0,0.0,031,S,17031251000,+41.8986945,-087.7448924,G5020,2510,Census Tract 2510,17,251000
181491.0,65882.0,031,S,17031060800,+41.9539590,-087.6426489,G5020,608,Census Tract 608,17,060800
325545.0,0.0,031,S,17031060100,+41.9575311,-087.6666112,G5020,601,Census Tract 601,17,060100
319702.0,0.0,031,S,17031060300,+41.9506061,-087.6713317,G5020,603,Census Tract 603,17,060300
358886.0,0.0,031,S,17031051400,+41.9357489,-087.6809905,G5020,514,Census Tract 514,17,051400
657623.0,0.0,031,S,17031160800,+41.9502131,-087.7128146,G5020,1608,Census Tract 1608,17,160800
576831.0,0.0,031,S,17031161100,+41.9498800,-087.7381550,G5020,1611,Census Tract 1611,17,161100
497601.0,0.0,031,S,17031161300,+41.9426994,-087.7310023,G5020,1613,Census Tract 1613,17,161300
517850.0,0.0,031,S,17031161200,+41.9425489,-087.7385701,G5020,1612,Census Tract 1612,17,161200
426501.0,0.0,031,S,17031161000,+41.9499766,-087.7306829,G5020,1610,Census Tract 1610,17,161000
327980.0,0.0,031,S,17031242100,+41.8996698,-087.6698375,G5020,2421,Census Tract 2421,17,242100
327555.0,0.0,031,S,17031221600,+41.9212455,-087.6850980,G5020,2216,Census Tract 2216,17,221600
1014645.0,0.0,031,S,17031170100,+41.9558596,-087.7948168,G5020,1701,Census Tract 1701,17,170100
657736.0,0.0,031,S,17031160900,+41.9500821,-087.7226082,G5020,1609,Census Tract 1609,17,160900
326757.0,0.0,031,S,17031242000,+41.8997371,-087.6649536,G5020,2420,Census Tract 2420,17,242000
662289.0,0.0,031,S,17031251200,+41.8985491,-087.7606040,G5020,2512,Census Tract 2512,17,251200
653465.0,0.0,031,S,17031251300,+41.8984251,-087.7703849,G5020,2513,Census Tract 2513,17,251300
322017.0,0.0,031,S,17031051300,+41.9359961,-087.6758403,G5020,513,Census Tract 513,17,051300
447251.0,23275.0,031,S,17031600700,+41.8407816,-087.6605430,G5020,6007,Census Tract 6007,17,600700
382324.0,0.0,031,S,17031600900,+41.8365129,-087.6531432,G5020,6009,Census Tract 6009,17,600900
2943101.0,0.0,031,S,17031821200,+41.6683911,-087.6722980,G5020,8212,Census Tract 8212,17,821200
995092.0,0.0,031,S,17031672000,+41.7611983,-087.6711281,G5020,6720,Census Tract 6720,17,672000
654358.0,0.0,031,S,17031711000,+41.7396436,-087.6485811,G5020,7110,Census Tract 7110,17,711000
990948.0,0.0,031,S,17031710900,+41.7421461,-087.6396893,G5020,7109,Census Tract 7109,17,710900
649295.0,0.0,031,S,17031711500,+41.7324402,-087.6386888,G5020,7115,Census Tract 7115,17,711500
350019.0,0.0,031,S,17031711300,+41.7335044,-087.6672855,G5020,7113,Census Tract 7113,17,711300
653926.0,0.0,031,S,17031711100,+41.7395016,-087.6583002,G5020,7111,Census Tract 7111,17,711100
1102231.0,0.0,031,S,17031711200,+41.7405561,-087.6698252,G5020,7112,Census Tract 7112,17,711200
745157.0,0.0,031,S,17031711400,+41.7336614,-087.6521168,G5020,7114,Census Tract 7114,17,711400
328376.0,0.0,031,S,17031271400,+41.8772429,-087.7133314,G5020,2714,Census Tract 2714,17,271400
329809.0,0.0,031,S,17031271200,+41.8773597,-087.7035621,G5020,2712,Census Tract 2712,17,271200
327413.0,0.0,031,S,17031271300,+41.8773040,-087.7084528,G5020,2713,Census Tract 2713,17,271300
561347.0,0.0,031,S,17031270500,+41.8762402,-087.7177932,G5020,2705,Census Tract 2705,17,270500
232044.0,0.0,031,S,17031360200,+41.8268855,-087.6098876,G5020,3602,Census Tract 3602,17,360200
201453.0,0.0,031,S,17031350400,+41.8419291,-087.6283695,G5020,3504,Census Tract 3504,17,350400
323957.0,0.0,031,S,17031351400,+41.8274019,-087.6240909,G5020,3514,Census Tract 3514,17,351400
821383.0,665632.0,031,S,17031351000,+41.8355675,-087.6065282,G5020,3510,Census Tract 3510,17,351000
567877.0,518735.0,031,S,17031350100,+41.8402590,-087.6079492,G5020,3501,Census Tract 3501,17,350100
328071.0,0.0,031,S,17031430800,+41.7607500,-087.5712983,G5020,4308,Census Tract 4308,17,430800
333359.0,0.0,031,S,17031430600,+41.7644133,-087.5713730,G5020,4306,Census Tract 4306,17,430600
336518.0,0.0,031,S,17031430900,+41.7606410,-087.5811851,G5020,4309,Census Tract 4309,17,430900
342833.0,0.0,031,S,17031430500,+41.7643139,-087.5812700,G5020,4305,Census Tract 4305,17,430500
548003.0,0.0,031,S,17031430400,+41.7621978,-087.5903116,G5020,4304,Census Tract 4304,17,430400
326856.0,0.0,031,S,17031680500,+41.7905639,-087.6523524,G5020,6805,Census Tract 6805,17,680500
652438.0,0.0,031,S,17031681100,+41.7687665,-087.6493595,G5020,6811,Census Tract 6811,17,681100
652467.0,0.0,031,S,17031681000,+41.7760398,-087.6495479,G5020,6810,Census Tract 6810,17,681000
2383590.0,0.0,031,S,17031610300,+41.8161777,-087.6751021,G5020,6103,Census Tract 6103,17,610300
2951703.0,0.0,031,S,17031803500,+42.0739284,-087.9940638,G5020,8035,Census Tract 8035,17,803500
2518652.0,0.0,031,S,17031803604,+42.1298817,-088.0409769,G5020,8036.04,Census Tract 8036.04,17,803604
3077020.0,0.0,031,S,17031803400,+42.0745454,-087.9711873,G5020,8034,Census Tract 8034,17,803400
597774.0,0.0,031,S,17031809800,+42.0375290,-087.6854990,G5020,8098,Census Tract 8098,17,809800
706469.0,0.0,031,S,17031809500,+42.0464554,-087.6877279,G5020,8095,Census Tract 8095,17,809500
765551.0,0.0,031,S,17031809900,+42.0376185,-087.6752631,G5020,8099,Census Tract 8099,17,809900
1009704.0,1649008.0,031,S,17031809400,+42.0447842,-087.6725221,G5020,8094,Census Tract 8094,17,809400
1300137.0,0.0,031,S,17031809600,+42.0447451,-087.6999044,G5020,8096,Census Tract 8096,17,809600
1323074.0,0.0,031,S,17031809700,+42.0374659,-087.6999151,G5020,8097,Census Tract 8097,17,809700
1109877.0,1422820.0,031,S,17031810000,+42.0247367,-087.6693055,G5020,8100,Census Tract 8100,17,810000
2531009.0,50181.0,031,S,17031803607,+42.1185514,-088.0155401,G5020,8036.07,Census Tract 8036.07,17,803607
1032906.0,0.0,031,S,17031680900,+41.7764307,-087.6376305,G5020,6809,Census Tract 6809,17,680900
6026987.0,0.0,031,S,17031825501,+41.5784583,-087.7170864,G5020,8255.01,Census Tract 8255.01,17,825501
1965312.0,0.0,031,S,17031720100,+41.7276164,-087.6747355,G5020,7201,Census Tract 7201,17,720100
3129445.0,0.0,031,S,17031824400,+41.6399612,-087.7262117,G5020,8244,Census Tract 8244,17,824400
582372.0,0.0,031,S,17031720600,+41.7027764,-087.6772070,G5020,7206,Census Tract 7206,17,720600
1042167.0,0.0,031,S,17031720500,+41.7028353,-087.6891011,G5020,7205,Census Tract 7205,17,720500
663284.0,0.0,031,S,17031720400,+41.7099918,-087.6866686,G5020,7204,Census Tract 7204,17,720400
