precinct_number,precinct_objectid,tract_geoid
8900079,1119,17031817900
8900038,1120,17031818000
8900081,1121,17031818000
8900051,1122,17031818100
8900092,1123,17031818200
8900101,1124,17031818100
8900059,1125,17031818200
8900057,1126,17031818401
8900077,1127,17031818402
8900085,1128,17031818401
8900035,1129,17031818500
8900028,1130,17031818500
8900084,1131,17031818500
8900006,1132,17031818500
8900097,1133,17031818600
8900054,1134,17031818600
8900024,1135,17031819000
8900025,1136,17031818900
8900089,1137,17031818700
8900032,1138,17031818800
8900048,1139,17031816900
9000046,1140,17031829901
9000015,1141,17031829902
9000034,1142,17031829902
9000011,1143,17031829800
9000029,1144,17031829800
9000031,1145,17031829800
9000045,1146,17031829800
9000042,1148,17031829902
9000033,1149,17031829800
9000021,1150,17031829901
9000006,1151,17031829902
9000001,1152,17031830003
9000044,1154,17031830003
9000037,1155,17031830003
9000028,1156,17031830003
9000048,1157,17031830004
9000025,1158,17031830004
9000030,1159,17031830004
9000036,1160,17031830004
9000005,1161,17031830005
9000039,1162,17031830005
9000019,1163,17031830001
9000035,1164,17031830005
9000050,1165,17031830001
9000026,1166,17031830006
9000012,1167,17031830202
9000002,1168,17031830005
9000032,1169,17031830100
9000027,1170,17031830100
9000010,1171,17031830300
9000016,1172,17031830400
9000008,1173,17031830300
9000013,1174,17031830300
9000014,1175,17031830400
9000024,1176,17031830202
9000022,1177,17031830202
9000017,1178,17031830400
9000004,1179,17031830201
9000051,1180,17031830201
9000043,1181,17031830201
9000049,1182,17031830007
9000040,1183,17031830007
9000038,1184,17031830007
9000009,1185,17031830008
9000018,1186,17031830008
9000023,1187,17031830008
9000020,1188,17031829901
9000007,1189,17031829901
9000047,1190,17031829902
9100001,1191,17031811900
9100003,1192,17031811900
9100007,1193,17031812000
9100006,1194,17031812000
9100005,1195,17031812000
9100004,1196,17031812000
9100008,1197,17031812000
9100002,1198,17031811900
9200007,1199,17031815600
9200011,1200,17031815800
9200006,1201,17031815600
9200012,1202,17031815600
9200009,1203,17031815701
9200010,1204,17031815701
9200002,1205,17031815702
9200003,1206,17031815702
9200008,1207,17031815701
9200004,1208,17031815702
9200013,1209,17031815600
9200001,1210,17031815702
9200005,1211,17031815702
9300012,1212,17031804716
9300028,1213,17031804714
9300042,1214,17031804713
9300007,1215,17031804709
9300002,1216,17031804603
9300058,1217,17031804713
9300015,1218,17031804714
9300031,1219,17031804705
9300071,1220,17031804716
9300075,1221,17031804809
9300033,1222,17031804809
9300064,1223,17031804606
9300026,1224,17031804610
9300047,1225,17031804606
9300054,1226,17031804609
9300068,1227,17031804608
9300001,1228,17031804715
9300009,1229,17031804709
9300035,1230,17031804706
9300027,1231,17031804701
9300044,1232,17031804701
9300017,1233,17031804609
9300056,1234,17031804606
9300076,1235,17031804606
9300052,1236,17031804606
9300043,1237,17031804701
9300078,1238,17031804711
9300053,1239,17031804710
9300072,1240,17031804608
9300034,1241,17031804712
9300020,1242,17031804712
9300077,1243,17031804711
9300060,1244,17031804711
9300070,1245,17031804803
9300032,1246,17031804710
9300057,1247,17031804607
9300074,1248,17031804607
9300067,1249,17031804607
9300073,1250,17031804607
9300011,1251,17031804803
9300069,1252,17031804607
9300005,1253,17031804709
9300051,1254,17031804806
9300021,1255,17031804809
9300016,1256,17031804803
9300062,1257,17031804804
