created_da,created_us,global_id,idpct,idpct_txt,last_edi_1,last_edite,name,name_tmp,num,objectid,shape_area,shape_len,town_no
1899-11-30T00:00:00.000Z,,{A98BF7BA-DE3F-402C-B422-23B4D4037936},7100051,7100051,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,51,86,3699558.11293,7795.27006352,71
1899-11-30T00:00:00.000Z,,{FE0D672A-D2DC-4921-B560-5BA9589A67F6},7100017,7100017,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,17,87,6022073.86951,12428.8639893,71
1899-11-30T00:00:00.000Z,,{881CE565-2018-487E-A8B1-C86EDDD03358},7100052,7100052,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,52,88,10019147.8622,17513.8201454,71
1899-11-30T00:00:00.000Z,,{A25D17A3-B2D1-47CF-B9CB-D9EFC78F524F},7100046,7100046,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,46,89,16901527.7741,23241.4363023,71
1899-11-30T00:00:00.000Z,,{77FAAA8E-3015-4BCC-9D63-3D9A3A4EC622},7100013,7100013,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,13,90,7778835.15386,13615.6456369,71
1899-11-30T00:00:00.000Z,,{DE317257-1688-4253-8D99-11D181064D54},7100008,7100008,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,8,92,10530259.3192,13515.5960825,71
1899-11-30T00:00:00.000Z,,{8F50C44E-1831-4A56-B154-F4A6E1A8BB18},7100011,7100011,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,11,93,7079638.97339,10779.4107976,71
1899-11-30T00:00:00.000Z,,{5398FF1E-2581-4421-9126-4621B19CF054},7100023,7100023,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,23,94,35648416.3305,32049.4974901,71
1899-11-30T00:00:00.000Z,,{0976A280-0AA5-4669-882E-C474298D64B2},7100027,7100027,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,27,95,13303690.014,15458.3031678,71
1899-11-30T00:00:00.000Z,,{59F3C34D-E445-4424-8210-419A221EB8A6},7100026,7100026,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,26,96,8989588.58578,16607.0551079,71
1899-11-30T00:00:00.000Z,,{A6B4717A-E9AA-4E12-A22A-034CC6CB3A0D},7100032,7100032,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,32,97,12211156.0762,16173.420477,71
1899-11-30T00:00:00.000Z,,{C8DDF886-5322-46F5-949B-8386305179BC},7100007,7100007,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,7,98,114060406.719,47349.5804886,71
1899-11-30T00:00:00.000Z,,{C5293D92-2A3C-4D46-9D88-21747AB2B920},7100053,7100053,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,53,99,91390011.9871,62144.762145,71
1899-11-30T00:00:00.000Z,,{0F52C565-7778-41DA-96D9-C2574FA052D1},7100043,7100043,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,43,100,8041591.94036,12152.1927717,71
1899-11-30T00:00:00.000Z,,{22BFDBDB-3F10-41FC-A463-74CF6D34C4B2},7100016,7100016,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,16,101,102513307.651,49557.6535775,71
1899-11-30T00:00:00.000Z,,{78BFF7F2-C1BC-46C2-BC82-1906455487F2},7100056,7100056,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,56,102,10695115.7026,22597.2043996,71
1899-11-30T00:00:00.000Z,,{BEEC34E2-4532-4086-88E3-B628B1D28239},7100049,7100049,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,49,103,38754859.4508,33742.5907326,71
1899-11-30T00:00:00.000Z,,{0BFB315E-64BB-4372-8911-2FE52C84E35B},7200053,7200053,1899-11-30T00:00:00.000Z,,BREMEN,TOWN OF BREMEN,53,104,3651746.45679,8224.48452597,72
1899-11-30T00:00:00.000Z,,{A02228EF-2EF1-4D56-8FA2-A5013B46E8F3},7200050,7200050,1899-11-30T00:00:00.000Z,,BREMEN,TOWN OF BREMEN,50,105,19201307.2015,23678.0807354,72
